国名,地域
GCC6か国,中東
アイルランド,ヨーロッパ
イスラエル,中東
イタリア,ヨーロッパ
インド,東南アジア
インドネシア,東南アジア
オーストリア,ヨーロッパ
オランダ,ヨーロッパ
カナダ,北アメリカ
シンガポール,東南アジア
スイス,ヨーロッパ
スウェーデン,ヨーロッパ
スペイン,ヨーロッパ
その他アジア,その他アジア
その他オセアニア,オセアニア
その他ヨーロッパ,ヨーロッパ
その他南アメリカ,南アメリカ
その他北アメリカ,北アメリカ
タイ,東南アジア
デンマーク,ヨーロッパ
ドイツ,ヨーロッパ
トルコ,ヨーロッパ
ニュージーランド,オセアニア
ノルウェー,ヨーロッパ
フィリピン,東南アジア
フィンランド,ヨーロッパ
ブラジル,南アメリカ
フランス,ヨーロッパ
ベトナム,東南アジア
ベルギー,ヨーロッパ
ポーランド,ヨーロッパ
ポルトガル,ヨーロッパ
マカオ,近隣アジア
マレーシア,東南アジア
メキシコ,南アメリカ
モンゴル,その他アジア
ロシア,ヨーロッパ
英国,ヨーロッパ
韓国,近隣アジア
香港,近隣アジア
豪州,オセアニア
台湾,近隣アジア
中国,近隣アジア
米国,北アメリカ
無国籍・その他,その他
