国名,地域,国名2,通貨名（日本語）,首都,距離,緯度,経度,公用語,総人口
中国,近隣アジア,中国,中国人民元,北京,2100,39.9046496,116.7184868,中国語,1402499213
ブラジル,南アメリカ,ブラジル,,ブラジリア,17674,-15.7845812,-47.9079509,ポルトガル語,214326000
インド,東南アジア,インド,インドルピー,デリー,5852,28.6720669,77.2207318,ヒンディー語,1407564000
米国,北アメリカ,アメリカ,米ドル,ワシントンD.C.,10923,38.8954503,-77.0158701,英語,336998000
カナダ,北アメリカ,カナダ,カナダドル,オタワ,10342,45.420608,-75.6904893,英語,38155000
インドネシア,東南アジア,インドネシア,インドネシアルピア,ジャカルタ,5775,-6.1815787,106.8283893,インドネシア語,273753000
イタリア,ヨーロッパ,イタリア,ユーロ,ローマ,9877,41.8930546,12.4834738,イタリア語,59240000
ロシア,ヨーロッパ,ロシア,ロシアルーブル,モスクワ,7497,55.7613895,37.6089367,ロシア語,145103000
メキシコ,南アメリカ,メキシコ,メキシコペソ,メキシコシティ,11320,19.431793,-99.1339996,スペイン語,126705000
ドイツ,ヨーロッパ,ドイツ,ユーロ,ベルリン,8938,52.5182775,13.4086443,ドイツ語,83409000
フィリピン,東南アジア,フィリピン,フィリピンペソ,マニラ,2995,14.5895137,120.9816112,タガログ語,113880000
ベトナム,東南アジア,ベトナム,,ハノイ,3674,21.0282935,105.8542103,ベトナム語,97468000
スペイン,ヨーロッパ,スペイン,ユーロ,マドリード,10786,40.4183806,-3.6918174,スペイン語,47487000
トルコ,ヨーロッパ,トルコ,トルコリラ,アンカラ,8784,39.9395921,32.8382867,トルコ語,84775000
フランス,ヨーロッパ,フランス,ユーロ,パリ,9735,48.8564826,2.3524135,フランス語,64531000
英国,ヨーロッパ,イギリス,英ポンド,ロンドン,9582,51.504827,-0.0786264,英語,67281000
タイ,東南アジア,タイ,タイバーツ,バンコク,4608,13.7538189,100.5018236,タイ語,71601000
韓国,近隣アジア,韓国,韓国ウォン,ソウル,1157,37.5662952,126.9779451,韓国語,51830000
マレーシア,東南アジア,マレーシア,マレーシアリンギ,クアラルンプール,5320,3.152362,101.6940229,マレー語,33574000
ポーランド,ヨーロッパ,ポーランド,,ワルシャワ,8600,52.2317616,21.0061014,ポーランド語,38308000
豪州,オセアニア,オーストラリア,オーストラリアドル,キャンベラ,7922,-35.3106933,149.1166937,英語,25921000
オランダ,ヨーロッパ,オランダ,ユーロ,アムステルダム,9311,52.3679843,4.8995816,オランダ語,17502000
ベルギー,ヨーロッパ,ベルギー,ユーロ,ブリュッセル,9471,50.8465882,4.3518717,オランダ語,11611000
スウェーデン,ヨーロッパ,スウェーデン,スウェーデンクローネ,ストックホルム,8190,59.3274506,18.0543456,スウェーデン語,10467000
ポルトガル,ヨーロッパ,ポルトガル,ユーロ,リスボン,11166,38.7081851,-9.1385651,ポルトガル語,10290000
オーストリア,ヨーロッパ,オーストリア,ユーロ,ウィーン,9150,48.2109437,16.3565084,ドイツ語,8922000
イスラエル,中東,イスラエル,,エルサレム,9169,31.7808516,35.2238524,ヘブライ語,8900000
スイス,ヨーロッパ,スイス,スイスフラン,ベルン,9689,46.9487624,7.4523275,ドイツ語,8691000
香港,近隣アジア,香港,香港ドル,,2786,22.31,114,中国語,7495000
シンガポール,東南アジア,シンガポール,シンガポールドル,シンガポール,5308,1.3067039,103.8431002,マレー語,5941000
デンマーク,ヨーロッパ,デンマーク,デンマーククローネ,コペンハーゲン,8711,55.6752833,12.5701632,デンマーク語,5854000
フィンランド,ヨーロッパ,フィンランド,ユーロ,ヘルシンキ,7838,60.1680707,24.952989,フィンランド語,5536000
ノルウェー,ヨーロッパ,ノルウェー,ノルウェークローネ,オスロ,8426,59.9121487,10.7337252,ノルウェー語,5403000
ニュージーランド,オセアニア,ニュージーランド,ニュージーランドドル,ウェリントン,9246,-41.2893299,174.7774235,英語,5130000
アイルランド,ヨーロッパ,アイルランド,ユーロ,ダブリン,9608,53.3439636,-6.2670798,アイルランド語,4987000
モンゴル,その他アジア,モンゴル,,ウランバートル,3014,47.9186873,106.9158415,モンゴル語,3348000
マカオ,近隣アジア,マカオ,,,2844,22.25,113.58,中国語,687000
GCC6か国,中東,,,,,,,,
その他アジア,その他アジア,,,,,,,,
その他オセアニア,オセアニア,,,,,,,,
その他ヨーロッパ,ヨーロッパ,,,,,,,,
その他南アメリカ,南アメリカ,,,,,,,,
その他北アメリカ,北アメリカ,,,,,,,,
無国籍・その他,その他,,,,,,,,
台湾,近隣アジア,台湾,台湾ドル,台北,2104,25.0375417,121.5644327,中国語,23394787
